1.1 Edad:,1.2 Género:,3. Evaluación de Habilidades Blandas,"A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Gestión: Gestionar actividades complejas, como proyectos de ingeniería, en el campo de estudio.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Comunicación efectiva: Presentar y defender proyectos técnicos en español e inglés en entornos profesionales.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Liderazgo: Dirigir equipos, organizando tareas y tomando decisiones clave.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Trabajo en equipo: Participar activamente en equipos para resolver problemas de ingeniería.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Ética profesional: Actuar con responsabilidad ética en la toma de decisiones técnicas, respetando normas y compromisos legales.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Responsabilidad social: Considerar aspectos jurídicos, culturales y de sostenibilidad al desarrollar soluciones de ingeniería.]","A continuación, por favor evalúa qué tan bien consideras que desarrollaste las siguientes habilidades blandas durante tu formación en la EPN. Usa una escala de 1 a 5, donde 1 = Nada desarrollado y 5 = Totalmente desarrollado. [Aprendizaje autónomo: Buscar activamente aprendizaje continuo y desarrollar habilidades profesionales de manera autónoma.]",4. Inserción Laboral,4.1 ¿Actualmente estás trabajando?,4.1.2 País:,4.1.3 ¿A qué tipo pertenece la institución en la que laboras?,4.1.4 Modalidad de trabajo:,4.1.5 ¿Cuánto tiempo lleva trabajando en su empleo actual?,"4.1.6 En una escala del 1 al 4 donde 1 es totalmente sin relación, y 4 es totalmente con relación ¿Cómo calificas la correspondencia entre tu formación académica y tu trabajo actual?",4.1.7 ¿Consideras que la formación académica ha contribuido a un mejor desempeño en tu vida profesional / laboral?,"4.1.8 ¿Consideras que la formación en habilidades blandas (gestión, comunicación efectiva, liderazgo, trabajo en equipo, ética profesional, responsabilidad social, aprendizaje autónomo) recibida en la EPN fue suficiente para enfrentar los desafíos del entorno laboral?",4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Gestión],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Comunicación efectiva],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Liderazgo],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Trabajo en equipo],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Ética profesional],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Responsabilidad social],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Aprendizaje autónomo],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Todas las anteriores],4.1.9 ¿Qué habilidades blandas sientes que más te ayudaron en tu inserción laboral? [Otro],4.1.10 ¿Consideras que las prácticas preprofesionales y pasantías han contribuido a un mejor desempeño en tu vida profesional / laboral?,4.1.11 Rango salarial mensual (USD):,4.1.12 ¿Estas actualmente buscando trabajo?,4.1.13 ¿Por cuanto tiempo has estado buscando trabajo?,4.1.14 ¿Ha identificado alguna brecha o déficit en su formación académica que considere ha dificultado su inserción laboral?,"Si respondió ""Sí"", por favor especifique:",4.2 ¿Conoces o has utilizado la Bolsa de Empleo de la EPN?,"6.1 ¿Qué asignaturas te resultaron más relevantes durante la carrera? Para completar esta pregunta realizarlo separando por comas: Ejemplo: Estática, Mecánica de materiales, Dinámica","6.2 ¿Qué temas/áreas/contenido consideras que debieron incluirse en tu proceso de formación? Para completar esta pregunta realizarlo separando por comas: Ejemplo: Importancia de las buenas prácticas de TICS, TICS, Cobit",6.3 ¿Qué recomendaciones darías para mejorar la formación en tu carrera?,6.4 ¿Qué habilidades blandas crees que debieron ser fortalecidas mejor durante tu formación?,"6.5 Si pudieras agregar una habilidad blanda a tu formación académica, ¿cuál sería y cómo la aplicarías en tu carrera profesional?",carrera,anioGraduacion
24,Masculino,,5 (Totalmente desarrollado),4,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,Sí,Dificultad en las materias de últimos semestres que impiden buscar un trabajo a tiempo parcial y con esto ganar experiencia.,"a) Sí, la he utilizado para postularme a vacantes","Electrónica de potencia, conversores estáticos, control industrial, plcs, redes industriales, sistemas scada, máquinas eléctricas.",Energías renovables,Que en los últimos semestres se tengan materias menos complejas y con esto poder tener tiempo para conseguir un empleo a tiempo parcial y poder ganar experiencia en el campo laboral.,"Comunicación entre compañeros, con la ayuda de giras y demás actividades.","Trabajo en equipo, no sé lo hace porque en su mayoría las actividades son individuales.",(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025
23,Masculino,,4,4,4,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"b) Sí, pero no la he utilizado","Aplicaciones Web, Interacción Humano Computador, Construcción del Software, Programación I, Programación II, Desarollo de Software Seguro.",Ejemplos más enfocados en un entorno empresarial.,Enfocarlo más a el entorno empresarial/laboral.,"Delegación, inteligencia emocional","Inteligencia emocional. Agregaría la inteligencia emocional para gestionar mejor mis emociones y relaciones, mejorando así mi desempeño profesional y liderazgo.",(RRA20) SOFTWARE,2025
25,Masculino,,3,3,4,3,4,4,3,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes",Termodinámica,Las mismas materias pero llevadas a la nueva tecnología,"Dar clases sobre las nuevas tecnologías y técnicas, ya que la industria va mejorando",Liderazgo,La comunicación efectiva: para tener mayor eficiencia y seguridad en las operaciones,(RRA20) PETRÓLEOS,2025
25,Masculino,,4,3,4,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No,,"b) Sí, pero no la he utilizado",Últimos semestres,Lean manufacturing,Estar más actualizados,Gestion,Comunicación,(RRA20) INGENIERÍA DE LA PRODUCCIÓN,2025
30,Femenino,,3,3,3,3,4,3,5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Física nuclear y de partículas, estado sólido, Física de materiales, física computacional, mecánica cuántica",No estoy segura,Ninguna,Adaptabilidad a distintas formas de trabajo,Adaptabilidad a distintas formas de trabajo,FISICA,2024
24,Masculino,,4,3,3,4,4,3,4,,Si,Ecuador,Privado,Tiempo completo,Entre 6 meses y 1 año,4.0,Si,No,Sí,Sí,No,Sí,Sí,No,Sí,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado",Estructuras de datos y algoritmls,Uso de git,"Mejorar los temas y enfoque de las materias de primeros niveles de la carrera, como lo es programación 1 y 2.",La comunicación,"La adaptabilidad, para buscar alternativas o mejores soluciones a problemas, evitando el estancamiento en soluciones ineficientes o inadecuadas.",(RRA20) SOFTWARE,2025
27,Masculino,,3,3,3,3,4,2,3,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Diseño de estructuras, soldaduda",IA,Que sea mas practica,Comunicación y liderazgo,Liderazgo,(RRA20) MECÁNICA,2025
23,Femenino,,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),4,5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,Sí,Experiencia,"b) Sí, pero no la he utilizado","Gestión de Calidad, Desechos Peligrosos, Desechos Comunes, Estudios de Impacto Ambiental, Gestión de Recursos Naturales,  Legislación Ambiental.","Huella de carbono, Huella hídrica, Sostenibilidad","Mejorar los laboratorios, las salidas técnicas","Comunicación gestión de recursos, liderazgo","Proactividad, es importante para desarrollarse en el ámbito laboral en cuanto a las actividades a realizarse",(RRA20) INGENIERÍA AMBIENTAL,2025
28,Femenino,,4,4,4,4,4,4,4,,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,3.0,Si,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Si,De $1001 a $1500,,,,,c) No la conozco,"Estadística, programación, riesgo financiero",TiCS,El trato de los los profesores a los alumnos para no tener problemas de autoestima,Oratoria,Oratoria para desenvolverme mejor en el entorno laboral,INGENIERIA EN CIENCIAS ECONOMICAS Y FINANCIERAS,2024
25,Masculino,,1 (Nada desarrollado),5 (Totalmente desarrollado),4,4,4,4,4,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,2.0,Si,No,Sí,Sí,Sí,No,No,No,No,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado","SISTEMAS ELECTRICOS DE DISTRIBUCION, CENTRALES DE GENERACION, MAQUINAS ELECTRICAS, ESTABILIDAD DE SEP, OPERACION DE SEP","COMUNICACIÓN EFECTIVA, LIDERAZGO",INCLUIR MATERIAS Y EJERCICIOS CON DISEÑO DE PROYECTOS REALES INCLUYENDO NO SOLO FACTIBILIDAD TECNICA SINO TAMBIEN LO ECONÓMICO,COMUNICACION EFECTIVA,COMUNICACIÓN EFECTIVA ME PERMITE DAR A CONOCER DE MEJOR MANERA LA IDEA DE UN PROYECTO Y PODERLO EXPONER. DE ESTA MANERA TODOS LOS INTEGRANTES DEL EQUIPO ENTINDEN Y SE PUEDE REALIZAR UN MEJOR DESARROLLO DEL PROYECTO.,(RRA20) ELECTRICIDAD,2025
23,Masculino,,4,2,3,3,4,3,5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes","Gestion de proyectos, PLC, Redes industriales","Gestion del mantenimiento, inteligencia de negocio, Networking",Dar mas importancia a las habilidades blandas,"Negociacion, Storytelling, Liderazgo",Negociacion siento que no se logra hacer que los estudiantes expresen su competitividad laboral sobre otros universitarios,(RRA20) ELECTRÓNICA Y AUTOMATIZACIÓN,2025
28,Femenino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,3.0,Si,Si,Sí,No,No,Sí,No,No,Sí,No,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Econometría, estadística, finanzas, proyectos.","Herramientas digitales para la productividad, análisis de datos con Excel y Power BI, fundamentos de comercio electrónico, gestión de proyectos, normativa laboral y tributaria actualizada, prácticas éticas en entornos laborales, sostenibilidad empresarial, marketing digital estratégico.","Incluir más contenido práctico y actualizado acorde a las exigencias del mercado laboral, fomentar el uso de herramientas tecnológicas aplicadas al campo profesional, incorporar talleres sobre habilidades blandas como liderazgo, comunicación y trabajo en equipo, promover la vinculación con el sector empresarial mediante pasantías o proyectos reales.","Comunicación asertiva, liderazgo, manejo del estrés, resolución de conflictos, inteligencia emocional, adaptabilidad al cambio, proactividad y gestión del tiempo.","Si pudiera agregar una habilidad blanda a mi formación académica, sería la inteligencia emocional. En mi carrera profesional la aplicaría para mantener un ambiente de trabajo colaborativo, resolver conflictos de manera empática y liderar con mayor conciencia y equilibrio emocional.",INGENIERIA EN CIENCIAS ECONOMICAS Y FINANCIERAS,2024
24,Masculino,,4,3,3,3,4,5 (Totalmente desarrollado),4,,No,,,,,,,,,,,,,,,,,,,Si,De 6 meses a 1 año,No estoy seguro/a,,"b) Sí, pero no la he utilizado","Desarrollo web, Aplicaciones móviles, Programación","Buenas prácticas de Tics, bases con Azure","Repasar, preguntar cuando se tengan dudas, investigar, ver videos del tema",Comunicación asertiva,"Gestión de estrés, considero que es bueno para ser flexible ante cualquier cambio, adaptarse y buscar nuevas soluciones, hace que una persona descubra nuevas habilidades",(RRA20) DESARROLLO DE SOFTWARE,2025
24,Masculino,,4,5 (Totalmente desarrollado),4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No,,"a) Sí, la he utilizado para postularme a vacantes",Programación Orientada a Objetos,Ruby,Más material abierto,Pensamiento crítico y Creatividad,Orientación al Cliente,(RRA20) DESARROLLO DE SOFTWARE,2025
26,Femenino,,4,3,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Si,Sí,No,No,No,No,No,Sí,No,,Si,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes","Finanzas, Macroeconomia, Econometria",Finanzas del mercado nacional,Materias más financieras,Comunicacion,Una materia de debate de economía,(RRA20) ECONOMÍA,2025
24,Masculino,,3,2,3,3,4,4,4,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,1.0,No,No,Sí,No,No,No,No,No,Sí,No,,No,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder",Suelos,Gestión de Proyectos,Enfocarse en las habilidades blandas,Comunicación,Comunicación,(RRA20) INGENIERÍA CIVIL,2025
23,Femenino,,4,3,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),4,,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,2.0,Si,Parcialmente,Sí,No,Sí,Sí,Sí,No,Sí,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado","Fundamentos de Bases de datos, ingeniería de software I y II, Aplicaciones web, aplicaciones móviles, Interacción Humano Computador, Data Mining y Machine Learning, Ingeniería Financiera, Gestión de Procesos y Calidad.","Buenas prácticas de manejo y gestión de proyectos, liderar proyectos.","Los profesores contratados se encuentren en áreas de su competencia, no por solo impartir cualquier materia.","Inteligencia emocional, comunicación efectiva, gestión del tiempo, negociación, empatía,","Inteligencia emocional, me permitiría conocer a la personas con las que me voy a relacionar al momento de hacer la gestión de un proyecto, y esto permitiría una mejor interacción, mejorando la capacidad de relación y comunicación con clientes.",(RRA20) COMPUTACIÓN,2025
29,Masculino,,4,3,3,4,4,4,4,,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,3.0,Si,Parcialmente,No,No,No,No,No,No,Sí,No,,Si,De $461 a $1000,,,,,"b) Sí, pero no la he utilizado",Abastecimiento,Hidráulica,Más prácticas,Comunicación,Relaciones Publicas,(RRA20) AGUA Y SANEAMIENTO AMBIENTAL,2025
23,Femenino,,3,2,5 (Totalmente desarrollado),4,5 (Totalmente desarrollado),3,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Diseño de proyectos estructurales, diseño de proyectos hidráulicos,  fiscalización, costos.","Sísmica dirigido a estructuras metálicas,","Mayor formación en cimentaciones, estructuras metálicas, legislación de la carrera.","La comunicación, la manera de expresarse, relacionarse con más personas.",Adaptabilidad y liderazgo.,(RRA20) INGENIERÍA CIVIL,2025
22,Masculino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,De 6 meses a 1 año,No estoy seguro/a,,c) No la conozco,Desarrollo de aplicaciones web y movil,desarrollo de aplicaciones moviles multi sistema operativo,tener maestros de planta,todo se fortalecio en su debido momento,ninguna,(RRA20) DESARROLLO DE SOFTWARE,2025
26,Femenino,,3,3,3,3,3,3,3,,Si,Ecuador,Público,Tiempo completo,Menos de 6 meses,3.0,Si,No,No,No,No,No,Sí,No,Sí,No,,Si,De $461 a $1000,,,,,c) No la conozco,Campo,Programas geológicos,Enseñar bien geología del Petróleo,Programas informáticos para geología,Una materia que enseñen cómo utilizar programas para geología,(RRA20) GEOLOGÍA,2025
21,Masculino,,4,4,4,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,No,,Sí,"Tema de maquinas eléctricas, no fueron explicadas a detalle",c) No la conozco,Todo relacionado con electricidad,Programación de bajo nivel,En algunas materias profesores más capacitados,Comunicación efectiva,Comunicación efectiva,(RRA20) ELECTROMECÁNICA,2025
23,Femenino,,3,3,3,3,3,3,3,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No,,c) No la conozco,Alcantarillado,Tics,mas práctica en el laboratorio,expresión,liderazgo,(RRA20) AGUA Y SANEAMIENTO AMBIENTAL,2025
24,Femenino,,5 (Totalmente desarrollado),3,3,4,4,5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,3.0,Si,Si,No,Sí,No,Sí,No,No,Sí,No,,Si,De $461 a $1000,,,,,c) No la conozco,Ambiente,TICs,Más prácticas,Oratoria,Oratoria,(RRA20) INGENIERÍA QUÍMICA,2025
23,Masculino,,4,4,4,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder",Fisica,Mas acerca de redes,Ninguna,Todas fueron fortalecidas,Tal vez mejorar el trabajo en equipo,(RRA20) DESARROLLO DE SOFTWARE,2025
26,Masculino,,1 (Nada desarrollado),1 (Nada desarrollado),1 (Nada desarrollado),1 (Nada desarrollado),1 (Nada desarrollado),1 (Nada desarrollado),1 (Nada desarrollado),,No,,,,,,,,,,,,,,,,,,,Si,De 1 año a 2 años,Sí,Ningún plan vocacional,"b) Sí, pero no la he utilizado","Ingeniería financiera, cálculo, transferencia de calor, dibujo mecánico y CAD.",Más actividades de inserción en empresas o de tipo laboral. Entornos reales de trabajo.,Ser muy conscientes de que clase de profesional forman. Cuales son las metas reales. Muchos profesores no merecen seguir participando en la formación de estudiantes porque no dominan los temas y exageran en la dificultad de la evaluación y en la clase,Aprender a socializar,Expresarme en público sin problemas,(RRA20) MECÁNICA,2025
23,Femenino,,4,3,4,4,5 (Totalmente desarrollado),4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No,,"b) Sí, pero no la he utilizado","Calidad del agua, diseño de plantas, Evaluación de Impacto Ambiental",Implementación de materia de programación,Mayor utilización de tecnologías de procesamiento de datos,Comunicación,La comunicación asertiva para llegar a acuerdos con las personas que formen parte de un proyecto,(RRA20) INGENIERÍA AMBIENTAL,2025
25,Masculino,,4,2,4,4,3,3,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,Sí,"Los horarios de clases con muchas horas huecas no permiten buscar pasantias o trabajos en caso de hacerlos, esto no permite que seamos competitivos en la práctica.  No se genera un experiencia en la rama de estudio con la inserción al campo laboral.","d) No, pero me gustaría conocer más sobre cómo acceder","Dinámica de Máquinas,  Operación de SEP, Dispositivos Electrónicos,  Electrónica de Potencia","Pasar de la teoría a la práctica en maquinas eléctricas,  distribución de energía,  laboratorios modernizados",Mejorar sus laboratorios e inserción de los estudiantes a partir de media carrera al campo profesional,Desarollo de la expresión corporal y forma de comunicación.,Lo mismo que explique en la pregunta anterior.,(RRA20) ELECTRICIDAD,2025
23,Masculino,,4,3,4,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Mecánica de Suelos Básica, Mecánica de Suelos Aplicada y Cimentaciones, Hormigón: Flexión, Corte y Torsión, Hormigón Columnas, Muros de Corte y Pórticos","Diseño de Cimentaciones y utilización de softwares, Manejo del BIM",Fortalecer las actividades prácticas y de visitas técnicas necesarias para el desenvolvimiento en los distintos campos laborales,"Comunicación efectiva, Empatía, Gestión del tiempo","Adaptabilidad, para ser una persona flexible y receptiva para ajustarme de forma efectiva ante nuevas circunstancias del entorno",(RRA20) INGENIERÍA CIVIL,2025
24,Masculino,,3,3,4,4,5 (Totalmente desarrollado),4,2,,No,,,,,,,,,,,,,,,,,,,Si,De 6 meses a 1 año,No,,"d) No, pero me gustaría conocer más sobre cómo acceder",Losas,Materias relacionadas con las habilidades blandas,Ninguna,"Varias, pero básicamente gestión del tiempo y habilidades comunicativas",Gestión del tiempo,(RRA20) INGENIERÍA CIVIL,2025
24,Masculino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),4,4,3,2,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,3.0,Si,Parcialmente,Sí,Sí,No,No,No,No,Sí,No,,Si,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes","PROGRAMACIÓN II, ESTRUCTURA DE DATOS Y ALGORITMOS II, METODOLOGÍAS ÁGILES, CALIDAD DE SOFTWARE, INTELIGENCIA ARTIFICIAL Y APRENDIZAJE AUTOMÁTICO","Preparación para certificaciones, desafíos de programación (Leetcode), ofimática, más temas de matemática","Una mejor vinculación con el alumno, usar profesores que tengan conocimiento o relación con la materia que imparten sea con experiencia o certificaciones","La ética profesional que, aunque hay una materia, se la trata como si no tuviera importancia y la responsabilidad social","Manejo de las personas y el ambiente laboral, es lo más difícil de adaptarse al salir de la universidad y comenzar un trabajo donde a nadie le importas.",(RRA20) SOFTWARE,2025
24,Femenino,,3,3,3,3,3,3,3,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"a) Sí, la he utilizado para postularme a vacantes","Calidad del agua, suelo y aire",Legislación ambiental y de seguridad laboral,Cambiar los docentes,Liderazgo,Liderazgo para gestion de proyectos,(RRA20) INGENIERÍA AMBIENTAL,2025
26,Masculino,,3,3,3,3,5 (Totalmente desarrollado),4,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,3.0,Si,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,,Si,De $461 a $1000,,,,,c) No la conozco,"Comunicaciones ópticas, Telemática, Antenas",Cobit,Actualizar los temas a las técnicas actuales dejando de lado temas que ya no se manejan en la actualidad,Comunicación,Liderazgo,(RRA20) TELECOMUNICACIONES,2025
28,Femenino,,4,1 (Nada desarrollado),2,3,3,4,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Más de 2 años,2.0,Si,No,No,No,No,No,No,No,No,Sí,,Si,De $1501 a $2.000,,,,,c) No la conozco,Econometría,"Gestión de proyectos, Caso de negocios , Metodología Lean",Que consideren desarrollar habilidades blandas de los estudiantes porque mucho de los puestos de trabajo los obtienen las personas que saben venderse,"Metodologías de exposición , presentación de datos",Presentación de datos . Los politécnicos somos muy buenos con los números y los análisis pero si no podemos trasladar todo un análisis a una presentación y estar en capacidad de explicarlo de forma resumida para la toma de decisiones no somos tan buenos en el ámbito laboral.,INGENIERIA EN CIENCIAS ECONOMICAS Y FINANCIERAS,2024
25,Masculino,,2,2,2,3,2,1 (Nada desarrollado),4,,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,4.0,Si,No,No,Sí,No,Sí,No,No,Sí,No,,Si,De $461 a $1000,,,,,c) No la conozco,"Redes, Desarrollo Web, Inteligencia Artificial, Machine Learning, Programación Orientada a Objetos, Matemáticas Discretas, Algoritmos y Estructuras de Datos, HCI, Bases de Datos, Auditoría.","Arquitectura de Software, Gestión Empresarial, más preparación para buscar y afrontar el mundo laboral real, mas conexión con el mundo real.","Mas acercamiento con empresas reales, más inclusión de estudiantes en el mundo real con proyectos, más cosas como las que hacía el profesos Eduardo Andrade, pero lo sacaron...","Gestión, Comunicación.",Gestión y Comunicación,(RRA20) COMPUTACIÓN,2025
23,Femenino,,3,3,4,4,4,4,4,,No,,,,,,,,,,,,,,,,,,,Si,Menos de 6 meses,No estoy seguro/a,,"d) No, pero me gustaría conocer más sobre cómo acceder","Tratamientos de Aguas Residuales, Potabilización, Alcantarillado",Buenas prácticas de TICS,Más actividades en campo y laboratorios,No sé,No sé,(RRA20) AGUA Y SANEAMIENTO AMBIENTAL,2025
25,Masculino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Entre 1 y 2 años,4.0,Si,Parcialmente,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Si,De $461 a $1000,,,,,"a) Sí, la he utilizado para postularme a vacantes","Ingenieríá de software II, Aplicaciones Web, Aplicaciones móviles, Bases de datos, Inteligencia Artificial",Creatividad,Mejorar en la enseñanza de habilidades blandas,Comunicación efectiva,Gestión de tiempo,(RRA20) COMPUTACIÓN,2025
24,Masculino,,3,3,4,4,3,2,5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,,Si,De $1001 a $1500,,,,,"a) Sí, la he utilizado para postularme a vacantes","Refrigeración, trasnferencia de calor, termodinámica, mecánica de fluidos, elementos de maquinas","Gestión de Proyectos, análisis de proyectos, software de simulación","más proyectos, pero no teóricos de eventos reales, aprender en base a lo industrial y no solo a lo academico, mas experiencia laboral por parte de los profesores, y mas horas para ciertos temas, en especial en electricidad y electronica, las bases dadas son muy bajas","comunicación efectiva, gestión","comunicación efectiva, poder dirigir y dar indicaciones claras a tus colaboradores es fundamental para realizar proyectos",(RRA20) MECÁNICA,2025
25,Masculino,,5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),5 (Totalmente desarrollado),,Si,Ecuador,Privado,Tiempo completo,Menos de 6 meses,4.0,Si,Si,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,,Si,De $461 a $1000,,,,,"d) No, pero me gustaría conocer más sobre cómo acceder","Diseño de proyectos estructurales, Diseño de proyectos hidráulicos, Alcantarillado, Topografía, Estructuras de Aceros, Costos en la construcción, Fiscalización en la construcción , Instalaciones hidrosanitarias, Mecánica de suelos I y II , Hormigón I y II y Losas de hormigón","Talvez enfocarse mas en el tema de estructuras de acero, muy poco tiempo 1 semestre para ese tema y quiza ofrecer la TIC de acuerdo a  tu itinerario","Escuchar a los estudiantes durante las tutorías académicas, se hacen comentarios respecto a la forma de enseñar de algunos profesores.","Adaptabilidad, aveces algunas actividades eran muy lineales no existian cambies que nos generen adaptarnos y mejorar","Manejo del estres, poniendo a los estudiantes en mas situaciones de presión y que puedan desenvolverse y superar esa situación",(RRA20) INGENIERÍA CIVIL,2025
